,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,0,3005,2752,0,0,439,520,749,70,180,1
1,0,3004,2755,0,0,439,521,747,70,180,1
2,0,3006,2775,0,0,440,530,740,70,180,1
3,0,3008,2775,0,0,438,529,740,70,180,1
4,0,3004,2719,0,0,439,550,741,70,180,1
5,0,3006,2718,0,0,439,544,742,70,180,1
6,0,2997,2704,0,0,438,548,741,70,180,1
7,0,2994,2706,0,0,439,551,739,70,180,1
8,0,3007,2731,0,0,442,547,741,70,180,1
9,0,3006,2715,0,0,441,546,742,70,180,1
10,0,3007,2733,0,0,440,548,746,70,180,1
11,0,3008,2727,0,0,438,558,747,70,180,1
12,0,2996,2839,0,0,436,557,736,70,180,1
13,0,2997,2818,0,0,433,551,739,70,180,1
14,0,3002,2877,0,0,437,544,734,70,180,1
15,0,3008,2894,0,0,438,545,738,70,180,1
16,0,3007,2875,0,0,435,554,741,70,180,1
17,0,3010,2886,0,0,439,546,741,70,180,1
18,0,3009,2886,0,0,438,549,741,70,180,1
19,0,3008,2881,0,0,439,554,744,70,180,1
20,0,3007,2878,0,0,439,555,743,70,180,1
21,0,3009,2862,0,0,441,553,744,70,180,1
22,0,2999,2864,0,0,441,554,743,70,180,1
23,0,3011,2839,0,0,440,569,744,70,180,1
24,0,3008,2801,0,0,438,573,745,70,180,1
25,0,3007,2787,0,0,435,579,748,70,180,1
26,0,3011,2763,0,0,439,535,751,70,180,1
27,0,2998,2751,0,0,437,547,751,70,180,1
28,0,3002,2743,0,0,435,544,752,70,180,1
29,0,3009,2751,0,0,438,553,754,70,180,1
30,0,3008,2747,0,0,430,558,755,70,180,1
31,0,3007,2736,0,0,432,558,755,70,180,1
32,0,3009,2733,0,0,428,554,757,70,180,1
33,0,3008,2736,0,0,433,555,756,70,180,1
34,0,3008,2725,0,0,429,560,757,70,180,1
35,0,3006,2733,0,0,431,561,757,70,180,1
36,0,3007,2723,0,0,429,562,757,70,180,1
37,0,3008,2719,0,0,426,559,757,70,180,1
38,0,3009,2717,0,0,427,557,757,70,180,1
39,0,3008,2715,0,0,427,560,758,70,180,1
40,0,3010,2717,0,0,425,559,758,70,180,1
41,0,3008,2714,0,0,426,560,758,70,180,1
42,0,3008,2723,0,0,426,561,756,70,180,1
43,0,2995,2711,0,0,425,564,757,70,180,1
44,0,3008,2743,0,0,425,573,753,70,180,1
45,0,3008,2751,0,0,425,573,752,70,180,1
46,0,3009,2759,0,0,424,580,751,70,180,1
47,0,3008,2776,0,0,424,579,751,70,180,1
48,0,3008,2741,0,0,424,578,752,70,180,1
49,0,3007,2785,0,0,427,578,751,70,180,1
50,0,3008,2779,0,0,429,578,751,70,180,1
51,0,3046,2659,0,0,451,499,764,70,180,1
52,0,3037,2311,0,0,449,542,760,70,180,1
53,0,3029,2170,0,0,451,523,765,70,180,1
54,0,3047,2469,0,0,456,514,761,70,180,1
55,0,3043,2523,0,0,452,522,763,70,180,1
56,0,3018,2525,0,0,445,550,762,70,180,1
57,0,3027,2593,0,0,453,545,764,70,180,1
58,0,3015,2585,0,0,452,553,765,70,180,1
59,0,3029,2567,0,0,447,554,766,70,180,1
60,0,3026,2569,0,0,448,554,766,70,180,1
61,0,3025,2577,0,0,448,554,767,70,180,1
62,0,3024,2582,0,0,446,555,767,70,180,1
63,0,3024,2586,0,0,444,555,767,70,180,1
