,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,1707,0,0,0,0,70,640,718,70,180,2
1,1710,0,0,0,0,70,638,719,70,180,2
2,1702,0,0,0,0,70,641,721,70,180,2
3,1687,0,0,0,0,70,641,718,70,180,2
4,1696,0,0,0,0,71,642,721,70,180,2
5,1702,0,0,0,0,70,642,721,70,180,2
6,1699,0,0,0,0,69,643,721,70,180,2
7,1706,0,0,0,0,67,645,722,70,180,2
8,1705,0,0,0,0,68,646,720,70,180,2
9,1676,0,0,0,0,67,646,723,70,180,2
10,1677,0,0,0,0,68,648,722,70,180,2
11,1678,0,0,0,0,67,652,722,70,180,2
12,1698,0,0,0,0,65,661,718,70,180,2
13,1713,0,0,0,0,66,666,712,70,180,2
14,1743,0,0,0,0,62,668,706,70,180,2
15,1721,0,0,0,0,61,672,699,70,180,2
16,1735,0,0,0,0,62,676,699,70,180,2
17,1756,0,0,0,0,58,678,701,70,180,2
18,1741,0,0,0,0,57,663,703,70,180,2
19,1738,0,0,0,0,60,649,703,70,180,2
20,1751,0,0,0,0,58,647,706,70,180,2
21,1738,0,0,0,0,62,646,707,70,180,2
22,1751,0,0,0,0,62,639,711,70,180,2
23,1747,0,0,0,0,61,642,711,70,180,2
24,1747,0,0,0,0,62,644,711,70,180,2
25,1746,0,0,0,0,62,647,710,70,180,2
26,1744,0,0,0,0,62,649,711,70,180,2
27,1744,0,0,0,0,63,649,711,70,180,2
28,1743,0,0,0,0,63,651,711,70,180,2
29,1735,0,0,0,0,61,651,710,70,180,2
30,1744,0,0,0,0,67,652,711,70,180,2
31,1722,0,0,0,0,66,655,705,70,180,2
32,1735,0,0,0,0,66,657,712,70,180,2
33,1739,0,0,0,0,66,658,712,70,180,2
34,1731,0,0,0,0,67,658,712,70,180,2
35,1724,0,0,0,0,65,657,711,70,180,2
36,1729,0,0,0,0,68,658,713,70,180,2
37,1731,0,0,0,0,65,659,712,70,180,2
38,1731,0,0,0,0,64,660,711,70,180,2
39,1735,0,0,0,0,64,659,711,70,180,2
40,1735,0,0,0,0,65,662,712,70,180,2
41,1734,0,0,0,0,66,661,712,70,180,2
42,1728,0,0,0,0,65,662,712,70,180,2
43,1727,0,0,0,0,66,662,711,70,180,2
44,1728,0,0,0,0,66,662,713,70,180,2
45,1725,0,0,0,0,66,662,713,70,180,2
46,1727,0,0,0,0,67,661,713,70,180,2
47,1726,0,0,0,0,66,661,713,70,180,2
48,1721,0,0,0,0,65,662,714,70,180,2
49,1718,0,0,0,0,65,661,716,70,180,2
50,1722,0,0,0,0,64,665,717,70,180,2
51,1719,0,0,0,0,66,667,716,70,180,2
52,1715,0,0,0,0,65,667,716,70,180,2
53,1718,0,0,0,0,64,667,716,70,180,2
54,1717,0,0,0,0,67,668,716,70,180,2
55,1718,0,0,0,0,66,668,716,70,180,2
56,1719,0,0,0,0,65,670,716,70,180,2
57,1712,0,0,0,0,64,672,716,70,180,2
58,1702,0,0,0,0,65,671,716,70,180,2
59,1695,0,0,0,0,68,671,715,70,180,2
60,1685,0,0,0,0,67,672,714,70,180,2
61,1696,0,0,0,0,68,671,715,70,180,2
62,1697,0,0,0,0,66,672,715,70,180,2
63,1699,0,0,0,0,68,672,715,70,180,2
