,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,226,1573,1730,0,0,410,431,744,70,180,0
1,214,1579,1744,0,0,411,427,745,70,180,0
2,213,1567,1755,0,0,411,426,744,70,180,0
3,214,1570,1782,0,0,410,423,747,70,180,0
4,211,1573,1776,0,0,405,416,749,70,180,0
5,210,1561,1773,0,0,407,419,749,70,180,0
6,217,1567,1769,0,0,404,419,751,70,180,0
7,240,1552,1761,0,0,406,420,749,70,180,0
8,236,1571,1757,0,0,408,428,747,70,180,0
9,247,1584,1755,0,0,411,428,748,70,180,0
10,240,1571,1711,0,0,410,429,746,70,180,0
11,310,1589,1709,0,0,407,424,749,70,180,0
12,311,1594,1717,0,0,412,430,750,70,180,0
13,304,1591,1718,0,0,417,430,750,70,180,0
14,311,1595,1706,0,0,415,430,750,70,180,0
15,318,1600,1702,0,0,413,432,751,70,180,0
16,319,1607,1757,0,0,400,436,750,70,180,0
17,308,1609,1899,0,0,386,441,748,70,180,0
18,311,1619,1546,0,0,386,451,750,70,180,0
19,294,1627,567,0,0,371,421,761,70,180,0
20,298,1635,562,0,0,371,420,760,70,180,0
21,298,1647,550,0,0,373,420,763,70,180,0
22,302,1633,547,0,0,376,423,761,70,180,0
23,274,1638,550,0,0,374,424,761,70,180,0
24,246,1632,541,0,0,373,416,762,70,180,0
25,281,1646,551,0,0,383,440,761,70,180,0
26,269,1643,976,0,0,378,451,759,70,180,0
27,293,1650,1690,0,0,386,440,756,70,180,0
28,301,1646,1808,0,0,379,437,756,70,180,0
29,294,1653,1707,0,0,383,434,757,70,180,0
30,293,1644,1691,0,0,398,433,758,70,180,0
31,288,1641,1686,0,0,396,436,756,70,180,0
32,280,1641,1684,0,0,398,436,756,70,180,0
33,284,1642,1687,0,0,403,437,756,70,180,0
34,283,1641,1683,0,0,404,429,757,70,180,0
35,283,1638,1682,0,0,404,434,757,70,180,0
36,284,1643,1681,0,0,407,425,757,70,180,0
37,290,1648,1696,0,0,408,430,758,70,180,0
38,291,1648,1695,0,0,412,431,758,70,180,0
39,283,1643,1685,0,0,409,429,757,70,180,0
40,272,1648,1697,0,0,412,429,757,70,180,0
41,259,1641,1687,0,0,410,434,755,70,180,0
42,256,1642,1687,0,0,412,434,756,70,180,0
43,261,1649,1697,0,0,412,430,757,70,180,0
44,269,1645,1689,0,0,412,438,756,70,180,0
45,270,1650,1714,0,0,415,437,757,70,180,0
46,274,1646,1688,0,0,410,438,755,70,180,0
47,281,1649,1694,0,0,413,438,757,70,180,0
48,264,1651,1701,0,0,414,437,757,70,180,0
49,282,1650,1721,0,0,413,439,757,70,180,0
50,285,1654,1726,0,0,413,439,757,70,180,0
51,290,1652,1725,0,0,414,435,757,70,180,0
52,291,1653,1708,0,0,412,427,758,70,180,0
53,298,1652,1731,0,0,411,420,759,70,180,0
54,281,1646,1726,0,0,409,413,762,70,180,0
55,240,1648,1723,0,0,405,413,763,70,180,0
56,313,1650,1731,0,0,410,416,762,70,180,0
57,256,1651,1730,0,0,414,419,762,70,180,0
58,263,1649,1745,0,0,414,419,761,70,180,0
59,287,1665,1717,0,0,415,425,761,70,180,0
60,298,1674,1728,0,0,416,429,761,70,180,0
61,283,1674,1738,0,0,416,434,761,70,180,0
62,293,1744,1725,0,0,417,431,761,70,180,0
63,277,1712,1777,0,0,417,407,768,70,180,0
