,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,1765,0,0,0,0,85,781,792,70,180,2
1,1750,0,0,0,0,83,781,792,70,180,2
2,1970,0,0,0,22,88,804,752,70,180,2
3,1980,0,0,0,21,89,804,751,70,180,2
4,2064,0,0,0,14,89,802,755,70,180,2
5,2058,0,0,0,15,88,802,758,70,180,2
6,2063,0,0,0,15,86,796,762,70,180,2
7,2064,0,0,0,19,87,796,763,70,180,2
8,2080,0,0,0,18,88,797,765,70,180,2
9,2079,0,0,0,18,88,797,765,70,180,2
10,2095,0,0,0,16,88,797,767,70,180,2
11,2096,0,0,0,14,88,796,768,70,180,2
12,2095,0,0,0,14,89,796,768,70,180,2
13,2094,0,0,0,15,87,792,768,70,180,2
14,2100,0,0,0,13,88,791,770,70,180,2
15,2098,0,0,0,14,89,792,770,70,180,2
16,2101,0,0,0,14,90,793,771,70,180,2
17,2098,0,0,0,14,86,794,771,70,180,2
18,2093,0,0,0,14,88,794,770,70,180,2
19,2096,0,0,0,16,88,796,771,70,180,2
20,2087,0,0,0,20,87,797,770,70,180,2
21,2095,0,0,0,18,86,799,769,70,180,2
22,2094,0,0,0,23,87,800,766,70,180,2
23,2096,0,0,0,22,86,801,763,70,180,2
24,2094,0,0,0,20,86,802,757,70,180,2
25,2095,0,0,0,27,87,805,752,70,180,2
26,2096,0,0,0,25,85,802,750,70,180,2
27,2119,0,0,0,30,84,802,752,70,180,2
28,2135,0,0,0,32,85,799,752,70,180,2
29,2097,0,0,0,31,85,801,750,70,180,2
30,2101,0,0,0,44,85,800,747,70,180,2
31,2107,0,0,0,50,88,800,745,70,180,2
32,2083,0,0,0,48,86,797,743,70,180,2
33,2118,0,0,0,50,87,796,746,70,180,2
34,2096,0,0,0,48,87,796,746,70,180,2
35,2099,0,0,0,50,85,795,748,70,180,2
36,2098,0,0,0,48,85,790,748,70,180,2
37,2091,0,0,0,46,85,789,748,70,180,2
38,2107,0,0,0,45,84,791,750,70,180,2
39,2103,0,0,0,41,87,791,750,70,180,2
40,2106,0,0,0,40,87,790,750,70,180,2
41,2096,0,0,0,39,86,789,748,70,180,2
42,2108,0,0,0,39,87,789,750,70,180,2
43,2105,0,0,0,41,88,787,753,70,180,2
44,2112,0,0,0,43,90,785,755,70,180,2
45,2115,0,0,0,39,88,783,757,70,180,2
46,2115,0,0,0,18,90,781,758,70,180,2
47,2119,0,0,0,31,86,781,759,70,180,2
48,2113,0,0,0,20,87,782,759,70,180,2
49,2115,0,0,0,19,88,781,759,70,180,2
50,2114,0,0,0,27,87,779,759,70,180,2
51,2110,0,0,0,18,89,782,760,70,180,2
52,2101,0,0,0,20,90,782,760,70,180,2
53,2103,0,0,0,20,91,781,761,70,180,2
54,2086,0,0,0,23,91,781,761,70,180,2
55,2081,0,0,0,22,90,780,762,70,180,2
56,2097,0,0,0,23,89,782,763,70,180,2
57,2082,0,0,0,21,89,780,762,70,180,2
58,2096,0,0,0,26,90,781,764,70,180,2
59,2096,0,0,0,20,90,782,764,70,180,2
60,2086,0,0,0,24,89,781,762,70,180,2
61,2081,0,0,0,23,90,781,762,70,180,2
62,2093,0,0,0,25,90,784,763,70,180,2
63,2072,0,0,0,25,89,783,761,70,180,2
