,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3393,354,149,3655,387,55,2,369,70,180,4
1,3214,359,256,3595,458,56,0,327,70,180,4
2,3111,384,613,3173,505,59,55,248,70,180,4
3,3175,348,611,2884,526,57,0,171,70,180,4
4,3184,347,615,2951,525,54,44,156,70,180,4
5,3187,348,592,3024,512,58,68,150,70,180,4
6,3168,350,490,3194,495,61,78,153,70,180,4
7,3167,444,290,3438,458,61,44,170,70,180,4
8,3217,533,346,3506,413,55,40,206,70,180,4
9,3184,511,612,3226,445,57,76,181,70,180,4
10,3201,485,587,2997,472,56,89,149,70,180,4
11,3216,241,609,2896,511,58,90,106,70,180,4
12,3190,0,576,2683,535,57,125,99,70,180,4
13,3214,0,603,2736,545,57,159,74,70,180,4
14,3104,0,614,2677,561,56,209,73,70,180,4
15,3007,0,242,2319,730,55,248,216,70,180,4
16,3225,0,610,3034,726,55,0,396,70,180,4
17,3516,0,206,3448,267,57,6,644,70,180,4
18,3546,0,233,3467,324,57,0,658,70,180,4
19,3596,0,205,3495,299,56,0,671,70,180,4
20,3595,0,175,3505,264,59,0,671,70,180,4
21,3621,0,219,3523,240,59,0,673,70,180,4
22,3630,0,105,3525,214,50,0,672,70,180,4
23,3609,0,0,3517,281,51,0,676,70,180,4
24,3580,0,135,3520,321,60,3,676,70,180,4
25,3555,0,158,3530,327,59,3,677,70,180,4
26,3562,0,0,3550,334,50,2,685,70,180,4
27,3360,0,0,3531,211,51,0,688,70,180,4
28,3343,0,310,3568,406,48,1,677,70,180,4
29,3542,0,0,3571,489,50,3,690,70,180,4
30,3575,0,0,3565,472,47,2,688,70,180,4
31,3632,0,0,3613,470,50,1,686,70,180,4
32,3677,0,0,3600,474,48,3,679,70,180,4
33,3689,0,0,3581,517,51,3,680,70,180,4
34,3728,0,160,3599,494,52,3,677,70,180,4
35,3737,0,0,3583,489,51,3,682,70,180,4
36,3751,0,0,3569,411,49,1,680,70,180,4
37,3760,0,0,3572,458,49,4,682,70,180,4
38,3750,0,0,3581,471,50,4,686,70,180,4
39,3739,0,0,3574,451,50,2,685,70,180,4
40,3727,0,0,3576,469,51,2,688,70,180,4
41,3711,0,0,3582,453,49,2,686,70,180,4
42,3726,0,0,3579,404,52,2,683,70,180,4
43,3728,0,147,3582,395,51,2,667,70,180,4
44,3733,0,0,3583,421,51,2,673,70,180,4
45,3722,0,103,3574,462,52,5,680,70,180,4
46,3709,0,0,3571,489,51,2,693,70,180,4
47,3695,0,266,3582,474,52,1,692,70,180,4
48,3703,0,147,3595,473,52,0,689,70,180,4
49,3707,0,178,3573,470,52,0,685,70,180,4
50,3726,0,143,3575,461,52,0,690,70,180,4
51,3711,0,274,3571,460,51,0,692,70,180,4
52,3707,0,247,3557,285,51,3,670,70,180,4
53,3641,0,218,3573,299,52,2,667,70,180,4
54,3655,0,447,3551,354,51,7,653,70,180,4
55,3729,0,426,3554,364,51,4,649,70,180,4
56,3764,0,411,3550,350,50,4,650,70,180,4
57,3810,0,290,3551,389,51,5,655,70,180,4
58,3877,0,299,3569,429,53,6,663,70,180,4
59,3882,0,279,3574,453,52,5,667,70,180,4
60,3867,0,270,3583,492,54,5,668,70,180,4
61,3865,0,290,3547,479,54,5,675,70,180,4
62,3825,0,297,3563,418,55,5,661,70,180,4
63,3833,0,133,3567,427,54,5,638,70,180,4
