,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3335,0,0,0,361,74,528,736,83,185,2
1,3319,0,0,0,366,72,536,769,83,185,2
2,3319,0,0,0,358,74,542,770,83,185,2
3,3330,0,0,0,383,76,539,759,83,185,2
4,3316,0,0,0,384,76,540,762,83,185,2
5,3328,0,0,0,373,72,543,766,83,185,2
6,3318,0,0,0,384,73,539,763,83,185,2
7,3330,0,0,0,389,73,542,763,83,185,2
8,3329,0,0,0,382,83,544,764,83,185,2
9,3317,0,0,0,383,84,545,762,83,185,2
10,3328,0,0,0,380,84,542,757,83,185,2
11,3328,0,0,0,384,84,543,757,83,185,2
12,3327,0,0,0,380,85,543,758,83,185,2
13,3335,0,0,0,382,85,544,760,83,185,2
14,3321,0,0,0,399,83,543,759,83,185,2
15,3325,0,0,0,407,83,499,755,83,185,2
16,3233,0,0,0,356,83,537,765,83,185,2
17,3166,0,0,0,369,83,505,763,83,185,2
18,2772,0,0,0,362,81,527,770,83,185,2
19,2992,0,0,0,282,80,500,769,83,185,2
20,2955,0,0,0,243,81,508,770,83,185,2
21,3085,0,0,0,243,81,553,774,83,185,2
22,3097,0,0,0,260,80,557,783,83,185,2
23,3119,0,0,0,282,80,560,771,83,185,2
24,3125,0,0,0,288,80,560,772,83,185,2
25,3125,0,0,0,273,80,564,773,83,185,2
26,3137,0,0,0,283,78,563,773,83,185,2
27,3126,0,0,0,287,78,564,773,83,185,2
28,3146,0,0,0,270,81,560,775,83,185,2
29,3153,0,0,0,275,82,562,776,83,185,2
30,3152,0,0,0,277,80,564,777,83,185,2
31,3138,0,0,0,275,79,564,775,83,185,2
32,3152,0,0,0,279,80,566,777,83,185,2
33,3153,0,0,0,281,81,566,777,83,185,2
34,3157,0,0,0,281,82,566,777,83,185,2
35,3159,0,0,0,280,82,565,777,83,185,2
36,3161,0,0,0,275,83,566,778,83,185,2
37,3166,0,0,0,281,84,561,780,83,185,2
38,3169,0,0,0,277,83,562,782,83,185,2
39,3174,0,0,0,266,84,568,796,83,185,2
40,3168,0,0,0,240,86,559,801,83,185,2
41,3184,0,0,0,249,86,559,807,83,185,2
42,3175,0,0,0,203,86,560,825,83,185,2
43,3147,0,0,0,193,88,566,831,83,185,2
44,3147,0,0,0,204,88,568,832,83,185,2
45,3122,0,0,0,183,87,578,839,83,185,2
46,3049,0,0,0,181,86,590,840,83,185,2
47,3002,0,0,0,181,86,587,845,83,185,2
48,2941,0,0,0,148,86,597,847,83,185,2
49,2899,0,0,0,127,85,596,848,83,185,2
50,2858,0,0,0,135,87,601,851,83,185,2
51,2879,0,0,0,137,86,597,852,83,185,2
52,2864,0,0,0,134,87,603,854,83,185,2
53,2898,0,0,0,141,87,602,857,83,185,2
54,2846,0,0,0,134,87,606,857,83,185,2
55,2877,0,0,0,139,87,605,858,83,185,2
56,2866,0,0,0,143,86,609,858,83,185,2
57,2874,0,0,0,141,85,609,859,83,185,2
58,2871,0,0,0,135,85,606,859,83,185,2
59,2877,0,0,0,135,80,606,860,83,185,2
60,2878,0,0,0,136,82,606,860,83,185,2
61,2880,0,0,0,137,82,610,860,83,185,2
62,2886,0,0,0,140,82,612,861,83,185,2
63,2887,0,0,0,137,81,613,860,83,185,2
