,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3233,3625,2391,0,0,634,770,868,83,185,1
1,3241,3630,2387,0,0,631,769,867,83,185,1
2,3233,3630,2429,0,0,635,769,866,83,185,1
3,3241,3626,2442,0,0,636,768,867,83,185,1
4,3241,3627,2439,0,0,635,769,868,83,185,1
5,3243,3631,2439,0,0,637,769,869,83,185,1
6,3245,3632,2439,0,0,637,768,869,83,185,1
7,3248,3632,2434,0,0,639,767,870,83,185,1
8,3251,3632,2451,0,0,642,767,870,83,185,1
9,3260,3617,2432,0,0,656,766,870,83,185,1
10,3270,3628,2375,0,0,714,760,871,83,185,1
11,3275,3616,2139,0,0,748,731,880,83,185,1
12,3319,3626,1869,0,0,752,694,892,83,185,1
13,3290,3607,678,0,0,604,735,894,83,185,1
14,0,3575,542,0,0,550,761,893,83,185,1
15,0,3599,576,0,0,587,773,882,83,185,1
16,0,3645,510,0,0,765,744,886,83,185,1
17,0,3680,1023,0,0,781,747,886,83,185,1
18,0,3535,1660,0,0,643,685,883,83,185,1
19,0,2534,701,0,0,721,712,884,83,185,1
20,0,1163,1715,0,0,723,699,879,83,185,1
21,0,570,1753,0,0,600,686,883,83,185,1
22,0,627,771,0,0,448,743,898,83,185,1
23,0,610,300,0,0,380,708,898,83,185,1
24,0,699,1503,0,0,472,728,897,83,185,1
25,0,1458,1639,0,0,667,725,892,83,185,1
26,0,1442,1967,0,0,688,722,889,83,185,1
27,0,1852,1690,0,0,789,722,880,83,185,1
28,0,2064,1491,0,0,787,711,885,83,185,1
29,0,2204,1872,0,0,764,756,894,83,185,1
30,0,2200,1767,0,0,766,753,886,83,185,1
31,0,2130,1637,0,0,783,763,885,83,185,1
32,0,1653,0,0,0,534,745,892,83,185,1
33,0,2469,637,0,0,533,779,887,83,185,1
34,2092,3744,1798,0,0,596,698,893,83,185,1
35,2291,3718,592,0,0,542,608,911,83,185,1
36,0,3709,0,0,0,441,745,923,83,185,1
37,1393,3715,2816,0,0,640,655,744,83,185,1
38,1072,3742,2736,0,0,575,667,790,83,185,1
39,1008,3737,2806,0,0,585,672,801,83,185,1
40,975,3734,2845,0,0,568,671,799,83,185,1
41,909,3731,2829,0,0,572,675,807,83,185,1
42,1892,3744,2823,0,0,566,674,810,83,185,1
43,1751,3760,2797,0,0,596,676,809,83,185,1
44,0,3774,2575,0,0,605,688,823,83,185,1
45,0,3765,2220,0,0,566,671,831,83,185,1
46,1472,3762,2217,0,0,560,679,836,83,185,1
47,2097,3751,2768,0,0,567,688,822,83,185,1
48,1839,3756,2665,0,0,547,683,827,83,185,1
49,1964,3757,2577,0,0,553,683,835,83,185,1
50,1966,3757,2673,0,0,557,681,828,83,185,1
51,1990,3760,2687,0,0,556,681,824,83,185,1
52,1983,3756,2384,0,0,560,678,829,83,185,1
53,2066,3754,2224,0,0,554,682,836,83,185,1
54,2003,3754,2272,0,0,557,683,838,83,185,1
55,2000,3759,2243,0,0,560,684,842,83,185,1
56,2069,3753,2245,0,0,558,685,840,83,185,1
57,1997,3744,2289,0,0,563,686,839,83,185,1
58,2086,3755,2133,0,0,571,688,845,83,185,1
59,2087,3739,1947,0,0,571,683,849,83,185,1
60,2177,3731,1821,0,0,560,691,854,83,185,1
61,2128,3742,2001,0,0,573,692,855,83,185,1
62,2303,3751,1589,0,0,584,693,864,83,185,1
63,2557,3749,2356,0,0,593,688,859,83,185,1
