,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,0,2752,0,0,0,124,768,868,83,185,0
1,0,2736,0,0,0,124,775,861,83,185,0
2,0,2353,0,0,0,125,799,789,83,185,0
3,0,2192,0,0,0,117,811,773,83,185,0
4,0,2249,0,0,0,118,823,787,83,185,0
5,0,2233,0,0,0,117,831,792,83,185,0
6,0,1808,0,0,0,116,816,767,83,185,0
7,1488,2256,0,0,0,123,667,816,83,185,0
8,1511,2245,0,0,47,125,660,820,83,185,0
9,2517,2467,0,0,68,125,661,823,83,185,0
10,2646,2368,0,0,48,123,680,821,83,185,0
11,2589,1920,0,0,0,124,755,823,83,185,0
12,2393,700,0,0,0,120,770,823,83,185,0
13,2123,0,0,0,0,117,781,822,83,185,0
14,2302,0,0,0,0,120,761,821,83,185,0
15,2587,0,0,0,0,97,646,825,83,185,0
16,2915,0,0,0,0,90,593,826,83,185,0
17,3025,0,0,0,0,111,625,829,83,185,0
18,3094,0,0,0,0,116,633,831,83,185,0
19,3092,0,0,0,0,114,637,830,83,185,0
20,3127,0,0,0,0,121,640,830,83,185,0
21,3145,0,0,0,0,122,644,832,83,185,0
22,3125,0,0,0,0,125,643,831,83,185,0
23,3130,0,0,0,0,122,647,832,83,185,0
24,3110,0,0,0,0,119,651,831,83,185,0
25,3134,0,0,0,0,115,655,832,83,185,0
26,3125,0,0,0,0,118,661,832,83,185,0
27,3133,0,0,0,0,126,663,831,83,185,0
28,3153,0,0,0,0,128,663,833,83,185,0
29,3145,0,0,0,0,131,664,832,83,185,0
30,3136,0,0,0,0,127,665,832,83,185,0
31,3146,0,0,0,0,131,666,833,83,185,0
32,3151,35,0,0,0,132,666,833,83,185,0
33,3146,33,0,0,0,132,667,833,83,185,0
34,3125,78,0,0,0,133,667,833,83,185,0
35,3135,59,0,0,0,135,669,834,83,185,0
36,3134,116,0,0,0,134,667,833,83,185,0
37,3145,319,0,0,0,136,671,835,83,185,0
38,3128,326,0,0,0,135,672,833,83,185,0
39,3130,324,0,0,0,134,672,834,83,185,0
40,3135,386,0,0,0,133,672,836,83,185,0
41,3135,398,0,0,0,132,673,835,83,185,0
42,3139,402,0,0,0,130,673,836,83,185,0
43,3123,399,0,0,0,133,672,835,83,185,0
44,3129,385,0,0,0,133,671,835,83,185,0
45,3141,413,0,0,0,133,674,836,83,185,0
46,3147,413,0,0,0,132,673,835,83,185,0
47,3130,413,0,0,0,135,673,835,83,185,0
48,3136,417,0,0,0,137,673,836,83,185,0
49,3152,417,0,0,0,138,673,836,83,185,0
50,3146,418,0,0,0,140,673,836,83,185,0
51,3148,423,0,0,0,141,673,836,83,185,0
52,3136,419,0,0,0,142,674,834,83,185,0
53,3140,416,0,0,0,144,674,834,83,185,0
54,3150,414,0,0,0,143,676,835,83,185,0
55,3138,420,0,0,0,142,673,834,83,185,0
56,3153,426,0,0,0,145,676,836,83,185,0
57,3151,422,0,0,0,144,675,835,83,185,0
58,3159,425,0,0,0,147,676,836,83,185,0
59,3158,414,0,0,0,147,676,837,83,185,0
60,3146,421,0,0,0,145,675,837,83,185,0
61,3143,416,0,0,0,150,675,838,83,185,0
62,3143,422,0,0,0,152,675,837,83,185,0
63,3158,426,0,0,0,152,677,838,83,185,0
