,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3831,0,0,4032,708,18,2,686,110,183,4
1,3846,0,0,4002,738,17,3,697,110,183,4
2,3819,0,0,4001,784,19,3,701,110,183,4
3,3793,0,0,4012,777,18,3,702,110,183,4
4,3761,0,0,4011,749,18,2,701,110,183,4
5,3730,0,0,4003,751,19,3,702,110,183,4
6,3728,0,0,4016,739,20,3,702,110,183,4
7,3703,0,0,4016,767,19,2,702,110,183,4
8,3695,0,0,4011,782,16,2,702,110,183,4
9,3677,0,0,4010,783,19,3,702,110,183,4
10,3681,0,0,4016,795,20,3,700,110,183,4
11,3591,0,0,4041,813,20,3,695,110,183,4
12,3568,0,0,4058,769,24,3,694,110,183,4
13,3658,0,0,4080,524,15,0,680,110,183,4
14,3723,0,0,4081,329,23,0,679,110,183,4
15,3793,0,0,4053,333,21,0,696,110,183,4
16,3866,0,0,4023,375,15,0,704,110,183,4
17,3914,0,0,4005,407,17,0,705,110,183,4
18,3965,0,0,3982,487,18,0,708,110,183,4
19,3920,0,0,3943,864,19,0,707,110,183,4
20,3792,0,0,3905,933,18,17,704,110,183,4
21,3842,0,0,3847,922,21,3,707,110,183,4
22,3904,0,0,3919,740,21,4,713,110,183,4
23,3841,0,0,4005,268,20,4,714,110,183,4
24,3543,0,0,4073,211,11,5,701,110,183,4
25,3298,0,0,4095,255,11,6,647,110,183,4
26,3559,0,0,4083,337,10,7,662,110,183,4
27,3575,0,0,4095,381,12,5,661,110,183,4
28,3696,0,0,4095,437,12,2,665,110,183,4
29,3734,0,0,4095,464,12,2,661,110,183,4
30,3770,0,0,4094,493,12,1,664,110,183,4
31,3785,0,0,4080,501,12,3,667,110,183,4
32,3792,0,0,4078,515,13,3,672,110,183,4
33,3805,0,0,4070,539,13,2,678,110,183,4
34,3824,0,0,4063,546,14,3,679,110,183,4
35,3829,0,0,4054,542,14,6,679,110,183,4
36,3815,0,0,4058,544,14,2,682,110,183,4
37,3815,0,0,4062,556,14,3,680,110,183,4
38,3802,0,0,4064,564,14,2,681,110,183,4
39,3813,0,0,4062,570,14,2,682,110,183,4
40,3829,0,0,4050,572,15,2,685,110,183,4
41,3881,0,0,4014,573,15,2,688,110,183,4
42,3872,0,0,4014,559,14,5,690,110,183,4
43,3835,0,0,4030,573,15,4,689,110,183,4
44,3821,0,0,4048,584,14,5,684,110,183,4
45,3795,0,0,4048,595,14,5,686,110,183,4
46,3803,0,0,4026,593,14,3,690,110,183,4
47,3805,0,0,4025,594,14,4,692,110,183,4
48,3807,0,0,4026,593,15,4,693,110,183,4
49,3797,0,0,4021,585,14,4,692,110,183,4
50,3799,0,0,4078,588,16,3,692,110,183,4
51,3792,0,0,4027,584,11,4,692,110,183,4
52,3792,0,0,4016,595,13,5,692,110,183,4
53,3808,0,0,4025,599,13,6,693,110,183,4
54,3803,0,0,4016,598,14,7,694,110,183,4
55,3804,0,0,4022,600,14,6,693,110,183,4
56,3807,0,0,4017,602,15,6,694,110,183,4
57,3801,0,0,4010,601,17,6,695,110,183,4
58,3808,0,0,4006,605,19,7,695,110,183,4
59,3814,0,0,4015,604,20,8,696,110,183,4
60,3807,0,0,4016,608,18,5,696,110,183,4
61,3797,0,0,4017,596,18,4,696,110,183,4
62,3793,0,0,4014,606,21,4,695,110,183,4
63,3789,0,0,4014,607,18,2,693,110,183,4
