,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3787,0,0,0,926,37,30,911,110,183,4
1,3785,0,0,0,926,35,31,912,110,183,4
2,3792,0,0,0,923,36,25,912,110,183,4
3,3794,0,0,0,916,35,28,912,110,183,4
4,3803,0,0,0,919,34,30,913,110,183,4
5,3797,0,0,546,909,35,23,908,110,183,4
6,3835,0,0,0,912,38,26,910,110,183,4
7,3835,0,0,0,908,36,32,911,110,183,4
8,3818,0,0,0,880,36,36,910,110,183,4
9,3810,0,0,0,884,35,32,910,110,183,4
10,3807,0,0,0,894,35,30,913,110,183,4
11,3826,0,0,0,822,35,24,918,110,183,4
12,3577,0,0,2558,348,35,4,917,110,183,4
13,2947,0,0,3270,205,11,18,911,110,183,4
14,2795,0,0,2796,267,12,7,912,110,183,4
15,3493,0,0,2654,535,13,3,913,110,183,4
16,3721,0,0,383,562,13,1,916,110,183,4
17,3622,0,0,2599,633,13,14,916,110,183,4
18,3661,0,0,2324,686,15,15,917,110,183,4
19,3719,0,0,2585,664,16,21,911,110,183,4
20,3718,0,0,3005,719,20,12,907,110,183,4
21,3683,0,0,3024,731,21,9,905,110,183,4
22,3687,0,0,3198,768,24,13,903,110,183,4
23,3695,0,0,2710,785,24,10,906,110,183,4
24,3696,0,0,2257,789,24,13,909,110,183,4
25,3703,0,0,1331,795,25,14,909,110,183,4
26,3700,0,0,966,813,24,16,910,110,183,4
27,3730,0,0,1002,789,26,19,911,110,183,4
28,3799,0,0,1860,572,27,0,911,110,183,4
29,3855,0,0,2626,460,29,1,907,110,183,4
30,3840,0,0,1285,468,28,2,912,110,183,4
31,3773,0,0,0,523,26,4,919,110,183,4
32,3747,0,0,0,580,29,9,923,110,183,4
33,3842,0,0,0,574,39,0,922,110,183,4
34,3856,0,0,0,591,38,10,922,110,183,4
35,3854,0,0,0,613,39,9,922,110,183,4
36,3875,0,0,0,558,41,10,923,110,183,4
37,3897,0,0,0,476,41,14,922,110,183,4
38,3810,0,0,1573,522,46,15,921,110,183,4
39,3825,0,0,434,563,45,15,921,110,183,4
40,3874,0,0,1143,578,47,15,921,110,183,4
41,3888,0,0,1328,650,44,15,919,110,183,4
42,3904,0,0,0,613,44,15,919,110,183,4
43,3941,0,0,0,490,42,14,919,110,183,4
44,3937,0,0,0,518,44,0,917,110,183,4
45,3803,0,0,0,660,45,20,909,110,183,4
46,3744,0,0,0,650,42,29,912,110,183,4
47,3739,0,0,0,497,41,17,922,110,183,4
48,3744,0,0,0,494,42,13,925,110,183,4
49,3702,0,0,0,493,44,9,925,110,183,4
50,3621,0,0,0,490,42,3,925,110,183,4
51,3664,0,0,0,503,48,4,924,110,183,4
52,3727,0,0,0,524,45,3,925,110,183,4
53,3777,0,0,0,541,46,11,924,110,183,4
54,3831,0,0,0,569,48,10,925,110,183,4
55,3874,0,0,0,601,54,9,925,110,183,4
56,3861,0,0,0,596,50,10,925,110,183,4
57,3847,0,0,0,613,51,10,926,110,183,4
58,3888,0,0,0,633,52,10,926,110,183,4
59,3930,0,0,0,557,52,11,926,110,183,4
60,3971,0,0,0,512,52,11,926,110,183,4
61,3966,0,0,0,481,53,11,925,110,183,4
62,3965,0,0,0,512,55,10,925,110,183,4
63,3926,0,0,0,515,53,10,925,110,183,4
