,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3319,0,0,0,597,10,822,901,110,183,2
1,3329,0,0,0,622,9,820,900,110,183,2
2,3334,0,0,0,631,12,820,901,110,183,2
3,3340,0,0,0,620,11,822,903,110,183,2
4,3344,0,0,0,620,11,824,902,110,183,2
5,3335,0,0,0,641,11,830,899,110,183,2
6,3227,0,0,0,469,14,834,884,110,183,2
7,3300,0,0,0,536,15,819,891,110,183,2
8,3301,0,0,0,588,15,829,894,110,183,2
9,3379,0,0,0,628,14,794,892,110,183,2
10,3376,0,0,0,631,15,800,892,110,183,2
11,3393,0,0,0,614,14,810,895,110,183,2
12,3391,0,0,0,590,15,819,896,110,183,2
13,3366,0,0,0,605,16,818,896,110,183,2
14,3365,0,0,0,618,15,815,895,110,183,2
15,3364,0,0,0,619,14,815,896,110,183,2
16,3360,0,0,0,614,15,818,897,110,183,2
17,3355,0,0,0,623,15,818,905,110,183,2
18,3344,0,0,0,642,15,818,867,110,183,2
19,3318,0,0,0,597,17,805,830,110,183,2
20,3280,0,0,0,545,17,810,841,110,183,2
21,3271,0,0,0,522,17,814,820,110,183,2
22,3281,0,0,0,561,16,810,834,110,183,2
23,3334,0,0,0,581,18,820,817,110,183,2
24,3193,0,0,0,658,17,828,802,110,183,2
25,3024,0,0,0,634,19,850,784,110,183,2
26,2959,0,0,0,625,18,855,794,110,183,2
27,2934,0,0,0,637,18,857,779,110,183,2
28,3119,0,0,0,653,18,849,801,110,183,2
29,3171,0,0,0,651,18,827,810,110,183,2
30,3151,0,0,0,619,18,826,822,110,183,2
31,3111,0,0,0,602,19,828,831,110,183,2
32,3097,0,0,0,599,20,826,828,110,183,2
33,3145,0,0,0,623,19,822,832,110,183,2
34,3136,0,0,0,621,19,824,833,110,183,2
35,3131,0,0,0,617,18,827,834,110,183,2
36,3136,0,0,0,621,19,827,837,110,183,2
37,3152,0,0,0,624,19,826,838,110,183,2
38,3141,0,0,0,624,18,826,841,110,183,2
39,3138,0,0,0,624,19,827,841,110,183,2
40,3142,0,0,0,625,18,826,842,110,183,2
41,3126,0,0,0,624,18,827,842,110,183,2
42,3136,0,0,0,623,20,828,841,110,183,2
43,3143,0,0,0,626,19,828,843,110,183,2
44,3145,0,0,0,626,19,826,843,110,183,2
45,3136,0,0,0,625,20,828,845,110,183,2
46,3152,0,0,0,626,20,828,847,110,183,2
47,3165,0,0,0,626,21,829,847,110,183,2
48,3155,0,0,0,627,22,829,847,110,183,2
49,3163,0,0,0,627,21,829,847,110,183,2
50,3161,0,0,0,627,21,829,847,110,183,2
51,3159,0,0,0,626,22,830,848,110,183,2
52,3153,0,0,0,625,21,828,847,110,183,2
53,3163,0,0,0,626,22,830,848,110,183,2
54,3161,0,0,0,626,21,830,849,110,183,2
55,3151,0,0,0,625,21,829,848,110,183,2
56,3157,0,0,0,627,24,829,849,110,183,2
57,3164,0,0,0,628,22,829,849,110,183,2
58,3155,0,0,0,627,22,829,849,110,183,2
59,3158,0,0,0,627,21,829,849,110,183,2
60,3155,0,0,0,627,19,830,850,110,183,2
61,3152,0,0,0,627,22,830,851,110,183,2
62,3147,0,0,0,627,20,830,851,110,183,2
63,3146,0,0,0,627,19,830,852,110,183,2
